Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data analyst,,Analytical and problem-solving skills,Communication skills,Data management,"Data modelling, data cleansing, and data enrichment skills",Data visualisation,Logical and creative thinking skills,Project management skills,Proven IT and mathematical skills,"Quality assurance, validation and data linkage abilities",Statistical methods and data analysis skills,,,,,,,"A data analyst collects, organises and studies data to provide business insight. In this role, you will:

• apply tools and techniques for data analysis and data visualisation (including the use of business information tools)
• identify, collect and migrate data to and from a range of systems
• manage, clean, abstract and aggregate data alongside a range of analytical studies on that data
,,Principal infrastructure operations engineer,Practitioner,Practitioner,Practitioner,Working,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Expert,Practitioner,Expert,Practitioner,Expert,,,"A principal infrastructure operations engineer leads and directs IT operations specialist teams in monitoring, operating and supporting technical solutions. In this role, you will:

• develop the strategic and tactical roadmaps for technologies and services making sure they are future-proofed and the organisation derives maximum value from investment in technologies
• own the operational relationships with suppliers making sure services and products are aligned to industry best practice and regulatory and contractual requirements",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incident manager,,Asset and configuration management,Availability and capacity management,Change management,Community collaboration,Continual service improvement,Continuity management,Incident management,Ownership and initiative,Problem management,Service Management Framework knowledge,Service focus,Technical understanding,User focus,,,,Incident managers aim to restore normal service operation as quickly as possible and minimise any adverse effect on business operations. This makes sure that the best possible levels of service quality and availability are returned and maintained.,,,,,,,,
,,Incident manager,Awareness,Awareness,Awareness,Working,Awareness,Awareness,Working,Working,Working,Awareness,Working,Awareness,Working,,,,"An incident manager oversees incidents and restores normal operations as quickly as possible with the least impact on the business or the user.

At this level, you will be expected to:

• work on-site, maintaining the hardware and fixing technical problems as quickly as possible
• provide first time resolution by troubleshooting, diagnosing or escalating faults to the major incident managers and problem managers to investigate and resolve, or both
• coach apprentices and share knowledge with team colleagues

Your responsibilities may, in some departments, mirror those of an end user computing engineer.",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Major incident manager,Awareness,Working,Working,Practitioner,Working,Working,Practitioner,Practitioner,Working,Awareness,Practitioner,Working,Practitioner,,,,"A major incident manager manages significant outages and crises and reports issues to problem management. At this level, you will be expected to work closely with workplace services, infrastructure, applications operators and communication managers. In some departments, you may also be the head of service.",,5,,AUTY(5),INFL(5),COMP(4),KNGE(4),BUSS(5)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IT service manager,,Asset and configuration management,Business analysis (IT operations),Continual service improvement,Ownership and initiative,Relationship management,Service focus,Service Management Framework knowledge,Service reporting,Strategic thinking,Technical understanding,User focus,,,,,,IT service managers are responsible for managing the service delivery of information and communications technology (ICT) services and working with teams from IT service operations.,,,,,,,,
,,IT service analyst,Awareness,Awareness,Awareness,Working,Working,Awareness,Awareness,Working,Working,Awareness,Working,,,,,,,,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,IT service manager,Working,Working,Working,Working,Working,Practitioner,Working,Working,Working,Working,Working,,,,,,"An IT service manager is responsible for defining service level agreements (SLAs) and operational level agreements (OLAs) across all relevant business functions.

At this level, you will manage a fully functioning multi-sourced service support team with a customer-centric support approach across multiple locations, focused on service availability and performance

You will also ensure that:

all service and support functions remain responsive to customer needs
the service catalogue and wider IT service operations knowledge library is maintained
adequate reporting and service standards are met for their specific service
all technical change is communicated and managed, with appropriate governance
a programme of continual service improvement is put in place across the wider service delivery function",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Senior IT service manager,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Working,Practitioner,,,,,,"A senior IT service manager is responsible for service management across platforms, multiple channels and services to ensure service availability, performance and process maturity.",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Head of IT service management,Expert,Practitioner,Practitioner,Practitioner,Expert,Expert,Practitioner,Expert,Practitioner,Expert,,,,,,,"A head of IT service management is responsible for setting the vision and strategy for service management, ensuring processes are owned and maturing. At this level, you will:

lead a team, ensuring adequate resources and capacity
represent the IT service management function at a senior level
act as an escalation point for business stakeholders",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Problem manager,,Asset and configuration management,Availability and capacity management,Change management,Community collaboration,Continual service improvement,Continuity management,Incident management,Ownership and initiative,Problem management,Service focus,Service Management Framework knowledge,Technical understanding,User focus,,,,"Problem managers aim to resolve and control the root causes of incidents caused by errors within the IT infrastructure. In this role, you will be expected to work to prevent the recurrence of these incidents.",,,,,,,,
